3011,5665,6239
5890,5665,5844
6579,6019,4542
6047,5033,3541
4987,5033,3439
4450,4424,3312
4808,4699,2700
4808,4841,1532
4928,4849,890
4961,5049,540
5000,5561,411
5719,6395,404
6576,6221,889
6673,4710,2746
5252,3363,4912
3462,2872,6195
3152,2739,5351
2792,2080,4848
2157,1286,4563
1402,731,4872
844,450,5135
514,355,5101
336,381,5257
417,915,4762
897,3011,5764
2880,5890,5266
5585,6579,4619
6018,6047,3660
6018,4987,3660
6044,4450,3465
6044,4808,3262
4886,4808,1688
4445,4928,384
4659,4961,318
4659,5000,388
4880,5719,667
4880,6576,492
4833,6673,531
5123,5252,992
5123,3462,1608
5652,3152,2016
5652,2792,2782
5652,2157,3468
5652,1402,4167
6196,844,4438
6196,514,4624
6196,336,4408
6037,417,4457
4564,897,4516
4564,2880,4525
3602,5585,4421
3245,6018,4210
3168,6018,3614
2844,6044,3057
1501,6044,3651
1036,4886,3651
656,4445,3075
561,4659,3075
636,4659,2096
1023,4880,1387
2978,4880,1387
5484,4833,1387
6583,5123,1293
5669,5123,1293
5036,5652,754
4888,5652,754
5367,5652,754
5467,5652,390
5230,6196,542
5295,6196,647
5606,6196,1149
5868,6037,1318
5267,4564,1867
4543,4564,2736
3857,3602,3710
3441,3245,4446
4165,3168,4906
3507,2844,4642
2494,1501,4482
1496,1036,4374
871,656,4469
637,561,4175
461,636,3885
544,1023,3739
1042,2978,3432
1601,5484,2755
2304,6583,2374
3141,5669,1886
3659,5036,798
3975,4888,465
4198,5367,358
4651,5467,343
4564,5230,878
4560,5295,2919
4560,5606,5719
4560,5868,5591
4573,5267,5328
4573,4543,4666
4358,3857,4166
4358,3441,4549
4307,4165,4835
4036,3507,4863
3460,2494,4928
3190,1496,5464
3322,871,6300
3431,637,5659
2378,461,4274
1751,544,3316
1015,1042,2821
719,1601,2667
458,2304,2286
445,3141,1178
687,3659,718
1171,3975,437
1628,4198,318
2284,4651,346
3390,4564,826
3390,4560,826
4178,4560,2891
4178,4560,5457
3916,4573,5665
3916,4573,5665
4398,4358,6019
4379,4358,5033
4414,4307,5033
4467,4036,4424
4107,3460,4699
3909,3190,4841
3673,3322,4849
3280,3431,5049
3829,2378,5561
2782,1751,6395
2042,1015,6221
1255,719,4710
752,458,3363
445,445,2872
330,687,2739
348,1171,2080
843,1628,1286
2810,2284,731
5431,3390,450
6227,3390,355
5612,4178,381
4458,4178,915
4088,3916,3011
4495,3916,5890
4714,4398,6579
4737,4379,6047
4762,4414,4987
5442,4467,4450
6255,4107,4808
5866,3909,4808
4185,3673,4928
3202,3280,4961
2836,3829,5000
2519,2782,5719
1818,2042,6576
1173,1255,6673
676,752,5252
429,445,3462
340,330,3152
334,348,2792
850,843,2157
2909,2810,1402
5706,5431,844
6422,6227,514
5857,5612,336
4823,4458,417
4313,4088,897
4529,4495,2880
4752,4714,5585
4691,4737,6018
5031,4762,6018
5497,5442,6044
6387,6255,6044
6018,5866,4886
4451,4185,4445
3322,3202,4659
2965,2836,4659
3057,2519,4880
2022,1818,4880
1113,1173,4833
615,676,5123
389,429,5123
289,340,5652
305,334,5652
872,850,5652
872,2909,5652
872,5706,6196
2747,6422,6196
2747,5857,6196
2747,4823,6037
5268,4313,4564
5268,4529,4564
5268,4752,3602
5320,4691,3245
5320,5031,3168
5320,5497,2844
5203,6387,1501
5203,6018,1036
5203,4451,656
4930,3322,561
4930,2965,636
4930,3057,1023
4260,2022,2978
4260,1113,5484
4621,615,6583
4621,389,5669
4891,289,5036
4891,305,4888
4789,872,5367
4789,872,5467
5079,872,5230
5079,2747,5295
5079,2747,5606
5645,2747,5868
6374,5268,5267
6374,5268,4543
6039,5268,3857
6039,5320,3441
4328,5320,4165
4328,5320,3507
3499,5203,2494
2947,5203,1496
2997,5203,871
2240,4930,637
1327,4930,461
847,4930,544
599,4260,1042
463,4260,1601
491,4621,2304
1002,4621,3141
2938,4891,3659
